                                               28 Sep 2025 19:35:01
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Global Coverage                                                    
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 4.0000 (deg)                                           
Number of Points: 2588                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Satellite/C_Sat/Sensor/C_Camera:    Active                     
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
    Satellite/S_Sat/Sensor/S_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Total Number Of Accesses             
Satisfaction is not enabled          
FOM value range check is not enabled.


Latitude (deg)    Longitude (deg)    FOM Value
       -18.000             84.828            1
       -18.000             88.966            1
       -18.000             93.103            1
       -18.000             97.241            0
       -18.000            101.379            2
       -18.000            105.517            1
       -18.000            109.655            1
       -18.000            113.793            1
       -18.000            117.931            1
       -18.000            122.069            1
       -18.000            126.207            1
       -18.000            130.345            0
       -18.000            134.483            2
       -18.000            138.621            1
       -18.000            142.759            0
       -18.000            146.897            1
       -18.000            151.034            2
       -18.000            155.172            0
       -18.000            159.310            2
       -18.000            163.448            2
       -18.000            167.586            0
       -18.000            171.724            0
       -18.000            175.862            2
       -18.000            180.000            0
       -18.000            184.138            1
       -18.000            188.276            1
       -18.000            192.414            1
       -18.000            196.552            0
       -18.000            200.690            1
       -18.000            204.828            1
       -18.000            208.966            1
       -18.000            213.103            1
       -18.000            217.241            1
       -18.000            221.379            1
       -18.000            225.517            1
       -18.000            229.655            1
       -18.000            233.793            0
       -18.000            237.931            2
       -18.000            242.069            1
       -18.000            246.207            1
       -18.000            250.345            1
       -18.000            254.483            0
       -18.000            258.621            1
       -18.000            262.759            3
       -18.000            266.897            1
       -18.000            271.034            1
       -18.000            275.172            1
       -18.000            279.310            0
       -18.000            283.448            1
       -18.000            287.586            3
       -18.000            291.724            1
       -18.000            295.862            0
       -18.000            300.000            0
       -18.000            304.138            0
       -18.000            308.276            1
       -18.000            312.414            3
       -18.000            316.552            1
       -18.000            320.690            2
       -18.000            324.828            0
       -18.000            328.966            0
       -18.000            333.103            1
       -18.000            337.241            3
       -18.000            341.379            1
       -18.000            345.517            1
       -18.000            349.655            0
       -18.000            353.793            0
       -18.000            357.931            2
       -14.000              2.069            3
       -14.000              6.207            1
       -14.000             10.345            1
       -14.000             14.483            0
       -14.000             18.621            0
       -14.000             22.759            2
       -14.000             26.897            2
       -14.000             31.034            2
       -14.000             35.172            0
       -14.000             39.310            0
