                                               30 Sep 2025 09:53:53
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        



Time (UTCG): 1 May 2024 18:02:25.000
------------------------------------

Latitude (deg)    Longitude (deg)    FOM Value (dB)
        32.490            253.262            8.2566
        32.490            253.286            8.3135
        32.490            253.310            8.3677
        32.490            253.334            8.4191
        32.490            253.358            8.4676
        32.490            253.382            8.5131
        32.490            253.406            8.5555
        32.490            253.431            8.5948
        32.490            253.455            8.6307
        32.490            253.479            8.6633
        32.490            253.503            8.6924
        32.490            253.527            8.7180
        32.490            253.551            8.7400
        32.490            253.575            8.7583
        32.490            253.599            8.7730
        32.490            253.623            8.7840
        32.490            253.647            8.7912
        32.490            253.671            8.7946
        32.490            253.695            8.7942
        32.490            253.719            8.7901
        32.490            253.744            8.7822
        32.490            253.768            8.7706
        32.490            253.792            8.7552
        32.490            253.816            8.7361
        32.490            253.840            8.7134
        32.490            253.864            8.6872
        32.490            253.888            8.6574
        32.506            253.262            8.3059
        32.506            253.286            8.3634
        32.506            253.310            8.4182
        32.506            253.334            8.4702
        32.506            253.358            8.5193
        32.506            253.382            8.5654
        32.506            253.406            8.6083
        32.506            253.431            8.6480
        32.506            253.455            8.6844
        32.506            253.479            8.7173
        32.506            253.503            8.7468
        32.506            253.527            8.7727
        32.506            253.551            8.7950
        32.506            253.575            8.8136
        32.506            253.599            8.8285
        32.506            253.623            8.8396
        32.506            253.647            8.8468
        32.506            253.671            8.8503
        32.506            253.695            8.8500
        32.506            253.719            8.8458
        32.506            253.744            8.8378
        32.506            253.768            8.8260
        32.506            253.792            8.8104
        32.506            253.816            8.7911
        32.506            253.840            8.7681
        32.506            253.864            8.7416
        32.506            253.888            8.7114
        32.522            253.262            8.3537
        32.522            253.286            8.4118
        32.522            253.310            8.4672
        32.522            253.334            8.5198
        32.522            253.358            8.5695
        32.522            253.382            8.6160
        32.522            253.406            8.6595
        32.522            253.431            8.6996
        32.522            253.455            8.7364
        32.522            253.479            8.7698
        32.522            253.503            8.7996
        32.522            253.527            8.8258
        32.522            253.551            8.8484
        32.522            253.575            8.8672
        32.522            253.599            8.8823
        32.522            253.623            8.8935
        32.522            253.647            8.9009
        32.522            253.671            8.9044
        32.522            253.695            8.9040
        32.522            253.719            8.8998
        32.522            253.744            8.8917
        32.522            253.768            8.8797
        32.522            253.792            8.8640
        32.522            253.816            8.8444
        32.522            253.840            8.8212
        32.522            253.864            8.7943
        32.522            253.888            8.7638
        32.538            253.262            8.3998
        32.538            253.286            8.4586
        32.538            253.310            8.5146
        32.538            253.334            8.5678
        32.538            253.358            8.6179
        32.538            253.382            8.6651
        32.538            253.406            8.7090
        32.538            253.431            8.7496
        32.538            253.455            8.7868
        32.538            253.479            8.8205
        32.538            253.503            8.8507
        32.538            253.527            8.8773
        32.538            253.551            8.9001
        32.538            253.575            8.9191
        32.538            253.599            8.9343
        32.538            253.623            8.9457
        32.538            253.647            8.9532
        32.538            253.671            8.9567
        32.538            253.695            8.9564
        32.538            253.719            8.9521
        32.538            253.744            8.9439
        32.538            253.768            8.9318
        32.538            253.792            8.9158
        32.538            253.816            8.8961
        32.538            253.840            8.8726
        32.538            253.864            8.8453
        32.538            253.888            8.8145
        32.554            253.262            8.4443
        32.554            253.286            8.5037
        32.554            253.310            8.5603
        32.554            253.334            8.6140
        32.554            253.358            8.6647
        32.554            253.382            8.7123
        32.554            253.406            8.7567
        32.554            253.431            8.7978
        32.554            253.455            8.8354
        32.554            253.479            8.8696
        32.554            253.503            8.9001
        32.554            253.527            8.9269
        32.554            253.551            8.9500
        32.554            253.575            8.9692
        32.554            253.599            8.9846
        32.554            253.623            8.9961
        32.554            253.647            9.0037
        32.554            253.671            9.0073
        32.554            253.695            9.0069
        32.554            253.719            9.0026
        32.554            253.744            8.9943
        32.554            253.768            8.9820
        32.554            253.792            8.9659
        32.554            253.816            8.9459
        32.554            253.840            8.9222
        32.554            253.864            8.8946
        32.554            253.888            8.8634
        32.570            253.262            8.4872
        32.570            253.286            8.5471
        32.570            253.310            8.6043
        32.570            253.334            8.6585
        32.570            253.358            8.7098
        32.570            253.382            8.7579
        32.570            253.406            8.8027
        32.570            253.431            8.8442
        32.570            253.455            8.8823
        32.570            253.479            8.9167
        32.570            253.503            8.9476
        32.570            253.527            8.9747
        32.570            253.551            8.9980
        32.570            253.575            9.0175
        32.570            253.599            9.0331
        32.570            253.623            9.0447
        32.570            253.647            9.0523
        32.570            253.671            9.0560
        32.570            253.695            9.0556
        32.570            253.719            9.0512
        32.570            253.744            9.0428
        32.570            253.768            9.0305
        32.570            253.792            9.0141
        32.570            253.816            8.9939
        32.570            253.840            8.9699
        32.570            253.864            8.9421
        32.570            253.888            8.9105
        32.586            253.262            8.5283
        32.586            253.286            8.5888
        32.586            253.310            8.6465
        32.586            253.334            8.7012
        32.586            253.358            8.7530
        32.586            253.382            8.8016
        32.586            253.406            8.8469
        32.586            253.431            8.8888
        32.586            253.455            8.9272
        32.586            253.479            8.9620
        32.586            253.503            8.9932
        32.586            253.527            9.0206
        32.586            253.551            9.0442
        32.586            253.575            9.0638
        32.586            253.599            9.0796
        32.586            253.623            9.0913
        32.586            253.647            9.0990
        32.586            253.671            9.1027
        32.586            253.695            9.1023
        32.586            253.719            9.0979
        32.586            253.744            9.0894
        32.586            253.768            9.0769
        32.586            253.792            9.0605
        32.586            253.816            9.0400
        32.586            253.840            9.0157
        32.586            253.864            8.9876
        32.586            253.888            8.9558
        32.602            253.262            8.5675
        32.602            253.286            8.6286
        32.602            253.310            8.6868
        32.602            253.334            8.7421
        32.602            253.358            8.7943
        32.602            253.382            8.8433
        32.602            253.406            8.8891
        32.602            253.431            8.9314
        32.602            253.455            8.9702
