"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:31:11.000,-203.975159,-14.8146,0.000129,12.2781,0.001586,512,0.5110,0.5131,30.000,-129.204,-3.555,0.000,12.105849,27.7847,0.000000
1,1 May 2024 19:31:14.000,-203.975159,-14.7734,0.000130,12.3193,0.001622,512,0.5110,0.5131,30.000,-129.204,-3.555,0.000,11.366036,27.7847,0.000000
1,1 May 2024 19:31:17.000,-203.975159,-14.7320,0.000130,12.3607,0.001659,512,0.5110,0.5131,30.000,-129.204,-3.555,0.000,10.626222,27.7847,0.000000
1,1 May 2024 19:31:20.000,-203.975159,-14.6905,0.000130,12.4022,0.001703,512,0.5110,0.5131,30.000,-129.204,-3.556,0.000,9.886410,27.7847,0.000000
1,1 May 2024 19:31:23.000,-203.975159,-14.6490,0.000130,12.4437,0.001743,512,0.5110,0.5131,30.000,-129.204,-3.556,0.000,9.146598,27.7847,0.000000
1,1 May 2024 19:31:26.000,-203.975159,-14.6073,0.000131,12.4854,0.001784,512,0.5110,0.5131,30.000,-129.204,-3.556,0.000,8.406786,27.7847,0.000000
1,1 May 2024 19:31:29.000,-203.975159,-14.5656,0.000131,12.5271,0.001827,512,0.5110,0.5131,30.000,-129.204,-3.557,0.000,7.666975,27.7847,0.000000
1,1 May 2024 19:31:32.000,-203.975159,-14.5237,0.000131,12.5690,0.001876,512,0.5110,0.5130,30.000,-129.204,-3.557,0.000,6.927165,27.7847,0.000000
1,1 May 2024 19:31:35.000,-203.975159,-14.4818,0.000132,12.6109,0.001922,512,0.5110,0.5130,30.000,-129.204,-3.557,0.000,6.187355,27.7847,0.000000
1,1 May 2024 19:31:38.000,-203.975159,-14.4397,0.000132,12.6530,0.001969,512,0.5110,0.5130,30.000,-129.204,-3.557,0.000,5.447546,27.7847,0.000000
1,1 May 2024 19:31:41.000,-203.975159,-14.3976,0.000132,12.6951,0.002018,512,0.5110,0.5130,30.000,-129.204,-3.558,0.000,4.707738,27.7847,0.000000
1,1 May 2024 19:31:44.000,-203.975159,-14.3553,0.000133,12.7374,0.002074,512,0.5110,0.5130,30.000,-129.204,-3.558,0.000,3.967930,27.7847,0.000000
1,1 May 2024 19:31:47.000,-203.975159,-14.3130,0.000133,12.7797,0.002127,512,0.5110,0.5130,30.000,-129.204,-3.558,0.000,3.228123,27.7847,0.000000
1,1 May 2024 19:31:50.000,-203.975159,-14.2705,0.000133,12.8222,0.002181,512,0.5110,0.5130,30.000,-129.204,-3.559,0.000,2.488316,27.7847,0.000000
